"No,Category,Title,Target & Goal,Part 1: 序論・歴史 (必須: 歴史/生物学),Part 2: 基礎理論 (必須: 概念図),Part 3: データ・変数 (必須: グラフ/閾値),Part 4: プロトコル (必須: 具体的手順)"
"50,Physics / Freeze,急速冷凍と氷結晶のサイズ：細胞破壊を防ぐ「最大氷結晶生成帯」の通過速度,冷凍保存担当。解凍してもドリップが出ない冷凍。,水の凍結プロセス（過冷却・核形成・結晶成長） / 細胞壁の損傷,緩慢冷凍（大結晶）vs急速冷凍（微細結晶）の細胞破壊モデル / 溶質濃縮効果,温度降下曲線と最大氷結晶生成帯（-1℃〜-5℃） / ドリップ量比較,Protocol: 金属トレイとアルコール凍結（リキッドフリーザー）の活用 / 小分け・薄く広げる理由 / 解凍法の最適解（冷蔵庫解凍vs流水）"
"51,Chemical Reaction,キャラメリゼの温度帯：165℃からの糖の熱分解と風味の変化,パティシエ。正確なキャラメル作り。,糖の熱分解反応経路 / 脱水・縮合・断片化,各温度帯（糸引き〜ハードクラック〜カラメル）の状態モデル / pHの影響,温度vs色度・苦味成分量グラフ / 転化糖の影響,Protocol: 水あり加熱vs水なし加熱（ドライ）の違い / 色止め（デグラッセ）のタイミング / 鍋の余熱考慮"
"52,Flavor / Sound,食感の音響学 (Gastrophysics)：パリパリ・サクサク音が美味しさを増幅する,メニュー開発。食感（テクスチャ）の設計。,マルチモーダル知覚（五感の相互作用） / 骨伝導と気導音,破砕音の周波数解析モデル（Crispy vs Crunchy） / 水分活性とガラス転移点,音の大きさ・高周波成分vs鮮度・美味しさ評価グラフ / 湿気による音の変化,Protocol: 衣の配合による音のチューニング / パートフィロやライスペーパーの活用 / 提供直前の仕上げ"
"53,Protein / Acid,魚の酢締めとタンパク質変性：pHによる殺菌と食感の変化（シメサバの科学）,寿司、和食。完璧な締め具合。,酸変性（Acid Denaturation）のメカニズム / 寄生虫（アニサキス）への効果,酸の浸透とタンパク質の白濁（凝固）モデル / 保水性の変化,pH・時間vs酸の浸透深度グラフ / 殺菌効果データ,Protocol: 塩締め（脱水）と酢締め（変性）の工程分離 / 砂糖を加えた甘酢の浸透圧緩和 / 締め時間の計算"
"54,Vegetable / Fruit,エチレンガスと追熟 (Ripening)：クライマクテリック型果実の制御,青果管理。フルーツの食べ頃管理。,植物ホルモン（エチレン）の働き / クライマクテリック型と非クライマクテリック型,呼吸量の増大と細胞壁分解（軟化）モデル / 糖度上昇メカニズム,エチレン濃度・温度vs追熟速度グラフ / 貯蔵寿命データ,Protocol: リンゴとバナナの混載効果 / 追熟を止める低温管理 / アボカドを早く熟させる方法"
"55,Physics / Tool,圧力鍋の熱力学：沸点上昇による時短調理とメイラード反応の可能性,煮込み担当。圧力鍋の使いこなし。,蒸気圧曲線と沸点上昇の原理 / アントワーヌの式,高温高圧下でのコラーゲン分解モデル / 密閉環境でのメイラード反応（重曹添加）,圧力（kPa）vs沸点温度グラフ / 調理時間短縮率,Protocol: 加圧終了後の自然放置（余熱）vs急冷 / 重曹を入れた「キャラメリゼ・スープ」 / 豆の皮が破れる原因"
"56,Lipid / Conf,コンフィ (Confit) の保存性と熱伝達：油煮による水分置換と殺菌,フレンチ。保存食としてのコンフィ。,油脂による酸素遮断と水分活性の低下 / ボツリヌス菌のリスク管理,低温長時間加熱によるコラーゲン崩壊と保水モデル / 毛細管現象による油の浸透,中心温度維持時間vs殺菌レベルチャート / 水分蒸発率,Protocol: マリネ（塩漬け）の重要性 / 70℃〜80℃の温度維持 / 冷蔵保存時の油の膜"
"57,Carbohydrate / Thickener,水溶き片栗粉の粘度科学：ダマにならない温度帯と撹拌,中華、和食。とろみ付けの失敗回避。,澱粉粒子の糊化温度と崩壊 / アミロースの流出,ダマ（ままこ）の形成モデル（表面糊化・内部未吸水） / 剪断速度と粘度（チキソトロピー）,温度vs粘度カーブ（ピーク粘度とブレークダウン） / 離水（老化・酵素分解）,Protocol: 一度火を止める・煮立たせる理由 / 水：粉の黄金比 / 唾液（アミラーゼ）による離水防止"
"58,Protein / Enzymes,熟成肉 (Dry Aging) の微生物学：酵素分解と脱水による旨味凝縮,肉担当。ドライエイジングの管理。,死後硬直解除後の自己消化 / カビ・酵母の役割,プロテアーゼによるタンパク質分解（ペプチド・アミノ酸生成）図解 / 自由水の蒸発と表面硬化,熟成期間vsアミノ酸増加量グラフ / 水分活性低下と歩留まり,Protocol: 温度・湿度・風速の管理基準 / 表面のトリミング（除去）ロス計算 / 家庭での危険性と代替法（脱水シート）"
"59,Flavor / Extraction,出汁の抽出と水質 (Water Hardness)：軟水と硬水が昆布・鰹節・珈琲に与える影響,和食、バリスタ。水による味の違い。,水の硬度（Ca/Mgイオン濃度）の定義 / ミネラルの架橋作用,昆布のアルギン酸・ペクチンとCaの結合（抽出阻害）モデル / 鰹節のイノシン酸抽出への影響,硬度vsグルタミン酸抽出量グラフ / 珈琲の酸味・苦味の変化,Protocol: 和食に軟水・洋風煮込みに硬水を選ぶ理由 / ミネラルウォーターの使い分け / 昆布出汁の低温抽出（60℃）"
"60,Physics / Viscosity,ソースの乳化と濃度 (Reduction)：煮詰めることによる粘度上昇と乳化安定,ソース担当。艶のあるソース。,水分の蒸発と固形分濃度の上昇 / ゼラチン・糖・ペクチンの濃縮,微細な油滴の分散と粘度による合一防止モデル / モンテ・オ・ブール（バター仕上げ）,煮詰め率（Reduction）vs粘度（Brix）グラフ / 塩分濃度の濃縮リスク,Protocol: フォンをグラス（Glance）状にする煮詰め方 / 最後のバターモンテの温度管理 / 膜を張らせない濾し方"
"61,Texture / Baking,ベーキングパウダーと重曹の化学：酸性剤によるガス発生のタイミング制御,パティシエ。膨らみのコントロール。,炭酸水素ナトリウムの熱分解・中和反応 / 酸性剤（酒石酸など）の役割,一段階反応（即効）と二段階反応（遅効・ダブルアクティング）のガス発生モデル / pHへの影響,温度・時間vsCO2発生量グラフ / 重曹特有の苦味と褐変,Protocol: 重曹とBPの使い分け・併用 / ヨーグルトやチョコ（酸性）がある時の配合調整 / 混ぜてから焼くまでの時間制限"
"62,Vegetable / Enzyme,大根・人参の酵素失活と「下茹で」：ペクチンメチルエステラーゼ (PME) の活性温度,煮物担当。煮崩れさせない下茹で。,植物細胞壁の構造 / PME酵素の役割（脱メチル化）,60-70℃でのPME活性化によるCa架橋強化（硬化）モデル / 沸騰による失活,温度vs酵素活性・ペクチン硬度グラフ / 昇温速度の影響,Protocol: 水から茹でるvs湯から茹でるの科学的選択 / 煮崩れ防止のための60℃帯キープ / 酵素失活後の本炊き"
"63,Protein / Egg,メレンゲの種類と安定性：フレンチ・イタリアン・スイスの物理特性と使い分け,パティシエ。目的に合ったメレンゲ選び。,気泡の安定化メカニズム / 砂糖の脱水作用と粘度上昇,熱凝固（イタリアン・スイス）によるタンパク質変性モデル / 各製法の気泡サイズ分布,砂糖添加量・温度vs泡の比重・安定性グラフ / 離水率比較,Protocol: 生食・焼き菓子・ムースごとの最適メレンゲ / シロップの煮詰め温度（117-121℃） / ボウルの脱脂の重要性"
"64,Flavor / Oil,ハーブオイルのクロロフィル抽出：鮮やかな緑色を出す温度と光の管理,冷場、ソース担当。色鮮やかなオイル。,色素の脂溶性 / クロロフィルの熱安定性と光分解,細胞破壊による抽出効率化モデル / 酸化による退色（褐色化）,抽出温度・時間vs色素濃度・退色率グラフ / 保存条件比較,Protocol: ブランチング後の急冷・脱水 / ブレンダーの摩擦熱対策 / 遮光瓶保存の理由"
"65,Physics / Knife,包丁の切れ味と細胞破壊：鋭利な刃が味と酸化に与える影響,全料理人。研ぎの重要性。,切断の物理（剪断応力・ウェッジ効果） / 細胞壁・細胞膜の破壊,鋭利な刃による切断面（平滑）vs鈍い刃（圧壊・細胞液流出）モデル / 酸化酵素との接触面積,切断面の顕微鏡画像比較 / 酸化速度（褐変）・ドリップ量データ,Protocol: 玉ねぎの涙（硫化アリル）と切れ味の関係 / 刺身の角が立つ理由 / 砥石の番手と食材の相性"
"66,Carbohydrate / Sugar,糖による保水性と防腐：ジャムやコンポートが腐らない浸透圧の壁,パティシエ、保存食。砂糖の役割。,自由水と結合水 / 糖の水和力,高浸透圧による微生物の脱水・静菌作用モデル / 水分活性（Aw）の低下,糖度（Brix）vs水分活性・微生物生育限界グラフ / 結晶化リスク,Protocol: 砂糖を数回に分けて加える理由（浸透圧ショック緩和） / 50%以上の糖濃度の意味 / 低糖度ジャムの保存リスク"
"67,Protein / Dairy,ヨーグルトと発酵乳のレオロジー：カゼインの酸凝固とホエイ分離（シネレシス）,パティシエ、朝食。自家製ヨーグルトの安定化。,乳酸発酵によるpH低下 / カゼインミセルの立体反発消失,等電点（pH4.6）での凝集・ゲルネットワーク形成モデル / スターター（種菌）の種類,pH・発酵時間vs粘度・酸度グラフ / 温度による菌叢変化,Protocol: 40-42℃の温度維持法 / ギリシャヨーグルト（水切り）の原理 / 消毒の重要性"
"68,Vegetable / Maillard,野菜のローストと甘み：デンプンの糖化と表面のメイラード反応のバランス,温野菜担当。甘く香ばしい焼き野菜。,アミラーゼによるデンプン分解（糖化） / 細胞壁の軟化,内部の糖化（低温長時間）と表面のメイラード（高温）の両立モデル / 水分蒸発制御,加熱温度・時間vs糖度上昇グラフ / 焼き色の最適化,Protocol: サツマイモの低温加熱（60-70℃） / 人参のグラッセの原理 / オーブン内の配置と熱対流"
"69,Texture / Gel,アガー・寒天・ゼラチンの透明度と食感：屈折率と破断強度の違い,パティシエ。美しいゼリー表現。,ゲル化剤の分子構造とネットワーク密度 / 光の散乱と透明度,各ゲルの破断応力（脆さ・弾力）モデル / 酸・糖の影響,ゲル化剤濃度vs透明度・硬さグラフ / 離水率比較,Protocol: ウォーターゼリーの透明度を出すアガー / 酸味のあるゼリーの固め方 / 常温提供デザートの選択"
"70,Lipid / Chocolate,ガナッシュの乳化理論：水分とカカオバターを繋ぐ適切な温度と摩擦,ショコラティエ。分離しない滑らかなガナッシュ。,O/W（水中油滴）型エマルジョン / カカオ固形分とクリームの比率,乳化の転相（Inversion）プロセスモデル / 結晶核の安定化,乳化温度帯（35-40℃）と粘度変化グラフ / 分離（Separation）の境界線,Protocol: 3回に分けて混ぜる理由（核作り） / ブレンダーによる微細化 / 分離したガナッシュの乳化再生法"
"71,Physics / Heat,中華鍋の煽りと熱対流：食材を「空中で加熱」する物理的意味,中華担当。パラパラチャーハンの極意。,伝導伝熱と対流伝熱 / 放射伝熱の役割,鍋肌での水分蒸発と空中での蒸気放出モデル / 食材の攪拌と均一加熱,鍋の温度分布図 / 煽り回数と水分蒸発率,Protocol: メイラード反応と焦げの境界線 / 鍋の油慣らし（ポリマー層）の効果 / 火力と投入量のバランス"
"72,Protein / Blood,血の利用（ブーダン・ノワール）：アルブミンの凝固と鉄分の酸化抑制,シャルキュトリ、ジビエ。血を使った料理。,血液成分（赤血球、血漿タンパク質） / 鉄分の酸化（黒変）,加熱による凝固ネットワーク形成モデル / 脂質による食感改良,凝固温度・時間vs硬さグラフ / 酸化防止（空気遮断）,Protocol: 凝固を防ぐための酢・クエン酸 / 湯煎焼き（ポシェ）の温度管理 / 臭み消しのスパイス（シナモン等）"
"73,Flavor / Smell,レトロネイザル香（口中香）のメカニズム：咀嚼と体温が揮発させる「風味」の正体,メニュー開発、ソムリエ。風味の感じ方。,オルソ（鼻から）とレトロ（喉から）の経路 / 咀嚼による食品マトリクスの破壊,体温（37℃）による揮発性成分の放出モデル / 呼気の流れ,揮発性成分の沸点リスト / 脂質含有量と香り放出の遅延（リリース）,Protocol: 温かい料理と冷たい料理の香りの設計 / 油脂による香りの持続性コントロール / 飲み込むタイミングと余韻"
"74,Vegetable / Color,カロテノイドの脂溶性と熱安定性：人参とトマトの色素を油に移す,イタリアン、ソース担当。赤いオイル。,カロテノイド（βカロテン、リコピン）の化学構造 / 疎水性（脂溶性）,細胞壁破壊と油への溶解・抽出モデル / 異性化（トランス→シス）による吸収率向上,加熱温度・時間vs油への色素抽出量グラフ / 酸化安定性,Protocol: トマトソースの油浮きの色が赤い理由 / 人参ドレッシングの乳化色 / オイルベースのパスタの乳化"
"75,Chemical Reaction,アルカリ処理 (Nixtamalization) の科学：トウモロコシの栄養価向上と生地化,メキシコ料理、製パン。トルティーヤの原理。,トウモロコシの果皮（ヘミセルロース）とナイアシン結合 / アルカリ（石灰水）の役割,アルカリによる果皮分解とデンプン糊化モデル / 栄養吸収率の変化,pH・加熱時間vs果皮除去率グラフ / 生地の粘弾性変化,Protocol: 伝統的なニシュタマリゼーションの手順 / 重曹での代用可能性 / マサ（生地）の捏ね方"
"76,Protein / Meat,ひき肉の衛生管理と変色：表面積増大による酸化リスクと細菌増殖,肉担当、ハンバーガー。ひき肉の安全と品質。,肉の構造破壊と表面積の劇的増大 / ミオグロビンの酸化速度,細菌汚染のリスク拡散モデル / ドリップによる栄養流出,温度・時間vs細菌増殖数（対数）グラフ / 酸化による褐変速度,Protocol: 挽く直前の肉の冷却（セミフローズン） / 器具のサニテーション / 提供基準（レアハンバーグのリスク）"
"77,Texture / Pastry,パイ生地の層形成 (Lamination)：バターと生地の融点・伸展性バランス,パティシエ。サクサクのクロワッサン・パイ。,グルテン層と油脂層の交互積層構造 / 水蒸気による膨張（リフト）,バターの可塑性範囲と生地の伸展性モデル / 層の破断リスク,折り込み回数vs層の厚さ・食感グラフ / 焼成時の熱伝達,Protocol: 室温・生地温・バター温の管理（3点管理） / 休ませる時間（グルテン緩和） / 焼成初期の高温維持"
"78,Physics / Salt,塩の粒度と溶解速度：フルール・ド・セルと精製塩の使い分け,全料理人。仕上げ塩の科学。,結晶構造（立方体、ピラミッド型、フレーク） / 表面積と溶解性,口内での溶解速度と塩味の立ち上がりモデル / テクスチャへの影響,粒度分布vs溶解時間グラフ / ミネラル含有量と吸湿性,Protocol: 焼き上がりに振る塩と下味の塩の違い / 吸湿による固結防止 / 指先の感覚と塩の量"
"79,Flavor / Tea,紅茶のタンニンとクリームダウン：温度低下によるカフェイン・タンニン複合体の形成,カフェ、サービス。クリアなアイスティー。,紅茶の成分（カテキン、テアフラビン、カフェイン） / 溶解度曲線,冷却による複合体形成（白濁）モデル / 砂糖・熱湯による防止,冷却速度・濃度vs濁度（Turbidity）グラフ / 硬水の影響,Protocol: 急冷法（オンザロック）によるクリームダウン防止 / 砂糖による透明度維持 / 水出し紅茶（コールドブリュー）の原理"
"80,Protein / Fish,すり身の足（ゲル化）：塩溶性タンパク質の網目構造と座り・戻り現象,和食、練り物。蒲鉾・真薯の食感。,魚肉の筋原繊維タンパク質 / 塩による溶解とゾル化,加熱による網目形成（座り）と酵素による分解（戻り）モデル / 魚種による違い,温度・時間vsゲル強度（破断強度）グラフ / 重合リン酸塩の効果,Protocol: 塩擦り（空擦り）の重要性 / 座り（低温加熱）工程の温度管理 / 戻り（50-60℃）の回避"
"81,Carbohydrate / Bread,サワー種の微生物学：乳酸菌と酵母の共生によるpH低下とグルテン改質,ベーカリー。サワードウブレッドの科学。,野生酵母と乳酸菌の共生系 / 糖の代謝産物（アルコール、CO2、有機酸）,酸性環境下でのプロテアーゼ活性化とグルテン軟化モデル / フィチン酸分解,pH・発酵時間vs有機酸比率（乳酸/酢酸）グラフ / 膨張率,Protocol: 種継ぎ（Refresh）の比率と温度 / 過発酵によるダレ（グルテン崩壊） / 独特の風味と保存性"
"82,Vegetable / Root,根菜の泥臭さ（ジオスミン）の除去：酸による分解とマスキング技術,和食、フレンチ。川魚や根菜の臭み消し。,ジオスミン・2-メチルイソボルネオールの構造 / 土壌細菌由来,酸による分解・揮発促進モデル / 皮付近への蓄積,pH・加熱時間vsジオスミン残存量グラフ / 油・スパイスによるマスキング,Protocol: 酢水・酢洗いの効果 / 皮を厚く剥く理由 / ハーブ・スパイスの活用"
"83,Lipid / Sauce,乳化剤としての卵黄レシチン：オランデーズソースの温度限界,フレンチ、朝食。エッグベネディクトのソース。,卵黄の組成（水分、脂質、レシチン） / 界面活性作用,バター（油）の微細化とレシチン膜による保護モデル / 加熱凝固との戦い,温度・バター添加速度vs粘度・安定性グラフ / 凝固点（65℃付近）,Protocol: 湯煎の温度管理（スクランブルエッグ化防止） / 水分（酢・水）の初期添加量 / 分離時の氷水リカバリー"
"84,Physics / Glass,グラスの形状と香りの立ち方：揮発成分の滞留と液面の表面積,ソムリエ、バーテンダー。飲料の最適な提供。,気液平衡とヘッドスペース / 香気成分の密度,グラス形状（ボウル、リム）による気流と香り滞留モデル / 飲む時の鼻の位置,開口部径vs香り強度・アルコール揮発量グラフ / ワインの種類とグラス,Protocol: ボルドー型とブルゴーニュ型の機能差 / スワリング（回す）の効果 / 炭酸飲料のグラス形状（フルートvsクープ）"
"85,Chemical Reaction,重曹と酸の反応（中和）：パンケーキとソーダブレッドの膨張原理,パティシエ、朝食。ふわふわのパンケーキ。,酸塩基反応の基礎 / 炭酸ガスの発生メカニズム,生地中での気泡形成とグルテン・デンプンによる保持モデル / 過剰な重曹（苦味・褐変）,酸・アルカリ比率vsガス発生量グラフ / 焼成時のpH変化,Protocol: ヨーグルトやバターミルク（酸）の活用 / 混ぜてから焼くまでのスピード勝負 / ベーキングパウダーへの置換"
"86,Protein / Vegan,アクアファバ（ひよこ豆の煮汁）の起泡性：植物性タンパク質とサポニンの界面活性,ヴィーガン、パティシエ。卵なしメレンゲ。,豆の煮汁成分（タンパク質、澱粉、サポニン） / 界面活性作用,気泡膜の形成と安定化メカニズム（卵白との比較）モデル / 砂糖の影響,煮詰め濃度・pHvs起泡力・安定性グラフ / 泡の微細構造,Protocol: ひよこ豆缶の煮汁の濃縮 / 砂糖を加えるタイミング / ヴィーガンマカロン・ムースへの応用"
"87,Flavor / Bitter,苦味の抑制 (Bitterness Suppression)：塩と酸によるマスキング効果の神経科学,メニュー開発、バーテンダー。苦い野菜や薬味の扱い。,苦味受容体（T2R）の多様性と感度 / 生体防御反応（毒）,塩（Na+）による苦味シグナル遮断メカニズムモデル / 脂肪・甘味によるマスキング,塩分濃度vs苦味強度抑制グラフ / グレープフルーツに塩の原理,Protocol: ゴーヤの塩揉み・下茹で / コーヒーに微量の塩 / 焦げた味のリカバリー限界"
"88,Texture / Meat,肉の熟成 (Aging) と酵素活性：カルパイン・カテプシンの働きと温度管理,肉担当。ウェットエイジングの科学。,内因性プロテアーゼ（カルパイン、カテプシン） / 死後硬直解除,筋原繊維（Z線）の分解と軟化モデル / 遊離アミノ酸の増加,熟成温度・期間vs剪断力（柔らかさ）・旨味成分量グラフ / 腐敗との境界,Protocol: 家庭用冷蔵庫での熟成リスク / 真空パック（ウェット）とドライの違い / 熟成香（ナッツ臭）の発生時期"
"89,Vegetable / Preservation,野菜の呼吸と保存：エチレン制御とガス置換包装 (MAP),青果管理。野菜の鮮度保持。,収穫後の生理作用（呼吸・蒸散） / エチレン生成と感受性,酸素・二酸化炭素濃度による呼吸抑制モデル / MAP包装の原理,温度・ガス組成vs呼吸速度・品質保持期間グラフ / 結露による腐敗,Protocol: ポリ袋の口を縛る・穴を開けるの使い分け / エチレン生成野菜（リンゴ）の隔離 / 立てて保存する理由"
"90,Chemical Reaction,アルコールの共沸とフランベの真実：燃やしても残るアルコールと風味の変化,洋食、パティシエ。アルコール飛ばしの科学。,気液平衡と共沸混合物 / 燃焼の化学（エタノール＋酸素）,フランベ時の炎の温度と表面・内部の温度差モデル / 揮発性成分の挙動,加熱法別（煮沸・フランベ・焼成）アルコール残存率データ / 風味の変化,Protocol: フランベは「香り付け」か「アルコール除去」か / ソース・ヴァン・ルージュの煮詰め方 / アルコールアレルギー対応の限界"
"91,Lipid / Chocolate,ガナッシュの分離と乳化破壊：転相点 (Phase Inversion) の見極め,ショコラティエ。分離したチョコの救済。,水分量と脂肪分のバランス / 粘度変化と転相,乳化破壊（Oiling off）のメカニズムモデル / 剪断力不足と温度不適,水分添加量vs粘度・導電率グラフ（転相点検知） / リカバリー領域,Protocol: 少量ずつの水分添加（乳化法） / 分離したガナッシュに少量の温めた水分を加える理由 / ブレンダーの活用"
"92,Texture / Hydrocolloids,キサンタンガムの擬塑性流動：ドレッシングを「振るとサラサラ、置くとトロトロ」にする科学,ソース担当、分子ガストロノミー。現代的なとろみ。,微生物由来多糖類 / 剪断減粘性（擬塑性）の定義,静止時の網目構造と剪断時の配向モデル / 懸濁安定性（粒を浮かす）,剪断速度vs粘度グラフ（流動曲線） / 耐酸性・耐塩性・耐熱性,Protocol: 油を含まないドレッシングの粘度付け / ピューレの離水防止 / 0.1%〜0.5%の濃度使い分け"
"93,Flavor / Smell,香りの閾値とマスキング：不快臭（オフフレーバー）を消す科学的アプローチ,全料理人。臭み消しの技術。,嗅覚閾値の定義 / 揮発性硫黄化合物（VSC）やアミンの臭気,マスキング（感覚的・化学的・物理的）メカニズム図 / 脂肪による揮発抑制,濃度vs臭気強度グラフ（対数則） / 香りのペアリング,Protocol: 生姜・ネギの臭み消し成分 / 酒・ワイン共沸による臭気除去 / 牛乳によるレバーの臭み吸着"
"94,Physics / Heat,熱ショック耐性とガラス器具：耐熱ガラスと普通のガラスの物理的違い,キッチン管理。ガラス破損の防止。,熱膨張係数の定義 / 熱応力による破壊,ソーダ石灰ガラスvsホウケイ酸ガラス（パイレックス）の構造比較モデル / 強化ガラスの特性,温度差（ΔT）vs破損確率グラフ / 傷（グリフィス・クラック）の影響,Protocol: 熱いガラスを濡れた布に置かない物理的理由 / 急冷・急熱の限界温度差 / オーブン可・直火不可の理由"
"95,Protein / Meat,ひき肉の結着と脂肪の役割：ジューシーなハンバーグとボソボソの違い,肉担当。理想のパティ。,ミオシンの塩溶性と網目構造 / 脂肪の融点と分布,脂肪の包摂（乳化）と加熱による流出モデル / 練り温度の影響,脂肪含有量・練り時間vs保水率・硬さグラフ / 焼き縮み率,Protocol: 脂が溶けない低温で練る重要性 / 塩を入れて粘りを出すタイミング / 牛脂の追加入れ（ケンネ脂）"
"96,Vegetable / Legume,豆のフィチン酸とミネラル吸収阻害：栄養吸収を考慮した調理前処理,ヘルスケア、給食。豆の栄養価。,フィチン酸（イノシトール6リン酸）のキレート作用 / ミネラル（Fe, Zn, Ca）結合,浸漬によるフィターゼ（分解酵素）活性化モデル / 発酵・発芽の効果,浸漬時間・pHvsフィチン酸分解率グラフ / ミネラル吸収率変化,Protocol: 一晩水に漬ける科学的理由 / 茹で汁を捨てるか使うか / 発芽玄米・発芽豆のメリット"
"97,Carbohydrate / Sugar,転化糖 (Invert Sugar) の保水力：焼き菓子をしっとり長持ちさせる魔法,パティシエ。お菓子の保存性向上。,スクロースの加水分解（ブドウ糖＋果糖） / 吸湿性と保水性,結晶化抑制メカニズム図 / メイラード反応への寄与,転化糖置換率vs水分活性・硬化速度グラフ / 甘味度の変化,Protocol: トリモリン（転化糖）の配合比率 / 酸（レモン汁）と熱による自家製転化糖 / カステラ・ガナッシュへの応用"
"98,Lipid / Oil,油の加水分解と遊離脂肪酸：揚げ油が「疲れる」化学的メカニズム,揚げ場担当。油の品質管理。,トリグリセリドのエステル結合 / 水分と熱による分解,遊離脂肪酸（FFA）の生成と発煙点低下モデル / 界面活性作用（泡立ち・粘り）,使用時間vs酸価（AV）・極性化合物量（TPM）グラフ / 色の変化,Protocol: 揚げカス（炭化・水分）の除去 / 差し油の効果 / 酸価試験紙による交換時期判定"
"99,Flavor / Taste,辛味の科学 (Pungency)：カプサイシンとピペリンの受容体と油への抽出,中華、カレー担当。辛さのコントロール。,TRPV1受容体（熱・痛覚） / カプサイシンの疎水性,油への溶解・抽出メカニズム図 / 種・ワタ・胎座の辛味分布,スコヴィル値と抽出温度・時間の関係グラフ / 解毒（カゼイン・糖・脂質）,Protocol: 辛味オイル（ラー油）の抽出温度管理 / 辛すぎて失敗した時の修正法（乳製品・甘み） / ホールとパウダーの使い分け"
"100,Physics / Tool,砥石の番手と研磨粒子：#1000と#6000が作る刃先の微細構造と切れ味,全料理人。包丁研ぎの理論。,研磨剤の粒度（グリット） / 刃先のノコギリ状構造（マイクロセレーション）,粗砥・中砥・仕上砥による刃先形状変化モデル / カエリ（バリ）の除去,番手vs表面粗さ・切断抵抗グラフ / 研磨角度と耐久性,Protocol: 食材（肉・魚vs野菜）に合わせた番手選択 / 研ぎ汁（砥泥）の役割 / 角度固定の重要性"